,SongID,Peak Position,Performer,Song,spotify_genre,spotify_track_id,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
15260,Pop OutPolo G Featuring Lil Tjay,11,Polo G Featuring Lil Tjay,Pop Out,['chicago rap'],6uFn47ACjqYkc0jADwEdj1,86.0,0.772,0.639,1.0,-7.119,1.0,0.467,0.15,0.0,0.0698,0.261,168.112,4.0
15349,PressCardi B,16,Cardi B,Press,"['pop', 'pop rap', 'rap']",6dPyzkyZwoj9LqjQXOFdVv,75.0,0.888,0.525,1.0,-5.665,1.0,0.305,0.028999999999999998,5.68e-06,0.13699999999999998,0.243,133.983,4.0
15469,Pure WaterMustard & Migos,23,Mustard & Migos,Pure Water,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3j84U36KvLeXNDPv4t5pI8,85.0,0.682,0.5589999999999999,0.0,-5.545,1.0,0.127,0.174,0.0,0.344,0.13699999999999998,202.015,4.0
15548,Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6ya8ejoKgw906Y8LWclqrp,77.0,0.6709999999999999,0.833,5.0,-5.152,0.0,0.395,0.0825,0.0,0.0726,0.7020000000000001,79.351,4.0
15610,Raised On CountryChris Young,54,Chris Young,Raised On Country,"['contemporary country', 'country', 'country road', 'modern country rock']",6voi5xnLs9JKmWG2oLmgDU,69.0,0.5720000000000001,0.794,2.0,-3.2239999999999998,1.0,0.0455,0.395,0.0,0.23,0.79,148.095,4.0
15703,Rearview TownJason Aldean,40,Jason Aldean,Rearview Town,"['contemporary country', 'country', 'country road']",3yHTTHbT058Ow0favhZO38,66.0,0.526,0.85,10.0,-4.47,0.0,0.0313,0.023,0.0,0.0948,0.33799999999999997,141.97299999999998,4.0
16001,RobberyJuice WRLD,27,Juice WRLD,Robbery,"['chicago rap', 'melodic rap']",6Hj9jySrnFppAI0sEMCZpJ,90.0,0.685,0.6920000000000001,2.0,-5.122000000000001,1.0,0.0457,0.32799999999999996,0.0,0.153,0.578,159.966,5.0
16078,Rockin' Around The Christmas TreeBrenda Lee,2,Brenda Lee,Rockin' Around The Christmas Tree,"['adult standards', 'brill building pop']",2EjXfH91m7f8HiJN1yQg97,92.0,0.589,0.47200000000000003,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,4.0
16231,RumorLee Brice,25,Lee Brice,Rumor,"['contemporary country', 'country', 'country road', 'modern country rock']",56eGOeSsqdg3FLxdo83TwV,77.0,0.655,0.56,9.0,-6.857,1.0,0.0486,0.7490000000000001,0.0,0.115,0.599,140.975,4.0
16408,Sanguine ParadiseLil Uzi Vert,28,Lil Uzi Vert,Sanguine Paradise,"['melodic rap', 'philly rap', 'pop rap', 'rap', 'trap']",3XiNC94b4Tq1xwv70sQJGN,84.0,0.7290000000000001,0.603,6.0,-6.736000000000001,0.0,0.0666,0.0948,0.0,0.113,0.207,134.972,4.0
16818,ShallowLady Gaga & Bradley Cooper,1,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,89.0,0.5720000000000001,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.32299999999999995,95.79899999999999,4.0
17049,Shotta FlowNLE Choppa,36,NLE Choppa,Shotta Flow,['memphis hip hop'],67XyC1GdSkKb9sbRRkUDXS,83.0,0.894,0.511,2.0,-4.768,1.0,0.42,0.0251,0.0,0.14,0.568,120.08,4.0
17308,Sleigh RideThe Ronettes,26,The Ronettes,Sleigh Ride,"['adult standards', 'brill building pop', 'classic girl group', 'motown']",5ASM6Qjiav2xPe7gRkQMsQ,85.0,0.528,0.772,2.0,-7.013,1.0,0.0288,0.40299999999999997,2.52e-06,0.316,0.852,91.735,4.0
17337,Slow Dancing In The DarkJoji,69,Joji,Slow Dancing In The Dark,"['alternative r&b', 'pop', 'viral pop']",0rKtyWc8bvkriBthvHKY8d,87.0,0.515,0.479,3.0,-7.457999999999999,1.0,0.0261,0.544,0.00598,0.191,0.284,88.964,4.0
17546,"SolteraLunay, Daddy Yankee & Bad Bunny",66,"Lunay, Daddy Yankee & Bad Bunny",Soltera,"['latin', 'reggaeton', 'reggaeton flow']",1c0hsvHLELX6y8qymnpLKL,87.0,0.795,0.7829999999999999,5.0,-4.271,1.0,0.0432,0.361,0.0,0.43700000000000006,0.8,92.016,4.0
17568,Some Of ItEric Church,43,Eric Church,Some Of It,"['contemporary country', 'country', 'country road', 'modern country rock']",3d1qN7AHge6BXuVPutcpI5,68.0,0.56,0.736,0.0,-7.306,1.0,0.0446,0.341,9.81e-06,0.155,0.8240000000000001,79.843,4.0
17656,Someone You LovedLewis Capaldi,1,Lewis Capaldi,Someone You Loved,"['pop', 'uk pop']",7qEHsqek33rTcFNT9PFqLf,96.0,0.501,0.405,1.0,-5.678999999999999,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,4.0
17889,SpeechlessDan + Shay,24,Dan + Shay,Speechless,"['contemporary country', 'pop']",3GJ4hzg4lrGwU51Y3VARbF,80.0,0.616,0.43799999999999994,1.0,-5.968,1.0,0.0298,0.35600000000000004,0.0,0.24,0.386,135.929,4.0
18376,SugeDaBaby,7,DaBaby,Suge,"['nc hip hop', 'rap']",2gwkD6igEhQbDQegRCcdoB,88.0,0.8759999999999999,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.8440000000000001,75.445,4.0
18578,Sweet But PsychoAva Max,10,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,89.0,0.7190000000000001,0.7040000000000001,1.0,-4.724,1.0,0.0476,0.0691,0.0,0.166,0.628,133.002,4.0
18859,Talk You Out Of ItFlorida Georgia Line,57,Florida Georgia Line,Talk You Out Of It,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4qQwGRtGT7l6ckQtdPEFd4,75.0,0.6509999999999999,0.708,4.0,-4.791,1.0,0.0376,0.5820000000000001,0.0,0.0796,0.5579999999999999,119.964,4.0
18862,TalkKhalid,3,Khalid,Talk,"['alternative r&b', 'pop']",6TqXcAFInzjp0bODyvrWEq,84.0,0.9009999999999999,0.4,0.0,-8.575,1.0,0.126,0.051,0.0,0.0599,0.34600000000000003,135.984,4.0
18883,TapNAV Featuring Meek Mill,87,NAV Featuring Meek Mill,Tap,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",5rU6kDNXZLXIinFezpbWbO,80.0,0.9009999999999999,0.6759999999999999,2.0,-7.0329999999999995,1.0,0.251,0.0646,0.0,0.0863,0.452,85.01799999999999,4.0
19333,The Christmas Song (Merry Christmas To You)Nat King Cole,11,Nat King Cole,The Christmas Song (Merry Christmas To You),['adult standards'],4PS1e8f2LvuTFgUs1Cn3ON,87.0,0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,4.0
19476,The Git UpBlanco Brown,14,Blanco Brown,The Git Up,['country rap'],2KKijf6Ett4kmVNJze2roh,82.0,0.847,0.6779999999999999,9.0,-8.635,1.0,0.109,0.0669,0.0,0.27399999999999997,0.8109999999999999,97.984,4.0
19611,"The LondonYoung Thug, J. Cole & Travis Scott",12,"Young Thug, J. Cole & Travis Scott",The London,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",7DcvwMAiqKJQD1rrdfxSDx,85.0,0.7959999999999999,0.586,4.0,-6.946000000000001,0.0,0.147,0.0247,0.0,0.132,0.179,97.98100000000001,4.0
19854,The SearchNF,70,NF,The Search,"['hip hop', 'pop rap', 'rap']",2OKo7g3KfmCt3kyLvUAL0g,76.0,0.789,0.7859999999999999,2.0,-4.788,1.0,0.297,0.596,0.0,0.0997,0.39,119.95700000000001,4.0
20392,ThrillerMichael Jackson,4,Michael Jackson,Thriller,"['pop', 'r&b', 'soul']",7azo4rpSUh8nXgtonC6Pkq,70.0,0.764,0.887,11.0,-3.725,1.0,0.0738,0.0816,0.00010800000000000001,0.847,0.721,118.421,4.0
20799,TrampolineSHAED,13,SHAED,Trampoline,"['electropop', 'pop']",1iQDltZqI7BXnHrFy4Qo1k,92.0,0.619,0.45899999999999996,7.0,-5.782,0.0,0.0334,0.56,0.0,0.13699999999999998,0.498,126.803,4.0
20888,Truth HurtsLizzo,1,Lizzo,Truth Hurts,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",5qmq61DAAOUaW8AUo8xKhh,90.0,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,4.0
21379,Wake UpTravis Scott,30,Travis Scott,Wake Up,['rap'],20MuVazoNMv6xjKPnRFOxG,79.0,0.741,0.645,11.0,-5.1160000000000005,0.0,0.0963,0.192,0.0,0.163,0.488,149.07,4.0
21402,Walk Me HomeP!nk,49,P!nk,Walk Me Home,"['dance pop', 'pop', 'post-teen pop']",7DHApOHsIFo7EyfieArYGE,77.0,0.652,0.45299999999999996,1.0,-6.119,1.0,0.0445,0.0519,0.0,0.179,0.43200000000000005,88.038,3.0
21878,What If I Never Get Over YouLady Antebellum,47,Lady Antebellum,What If I Never Get Over You,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",0qkdE1C0ufnUISKwhg8Wh6,75.0,0.5760000000000001,0.7240000000000001,0.0,-5.147,1.0,0.0274,0.016,0.0,0.107,0.34,93.029,4.0
22147,When The Party's OverBillie Eilish,29,Billie Eilish,When The Party's Over,"['electropop', 'pop']",43zdsphuZLzwA9k4DJhU0I,91.0,0.36700000000000005,0.111,4.0,-14.084000000000001,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.64200000000001,4.0
22309,Whiskey GlassesMorgan Wallen,17,Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']",6foY66mWZN0pSRjZ408c00,81.0,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.7070000000000001,149.959,4.0
22614,Wish WishDJ Khaled Featuring Cardi B & 21 Savage,19,DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1Hd2XLitkt1PYCWSbfF5qV,75.0,0.861,0.6659999999999999,8.0,-5.18,0.0,0.34299999999999997,0.00218,0.0,0.272,0.853,145.041,4.0
22671,Without MeHalsey,1,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,90.0,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.5329999999999999,136.041,4.0
22807,Worth ItYK Osiris,48,YK Osiris,Worth It,"['deep pop r&b', 'melodic rap', 'pop rap', 'trap']",4XiGKQqbmnMVxDzUj6j3f2,78.0,0.764,0.528,5.0,-4.082,0.0,0.0588,0.46799999999999997,0.0,0.0811,0.42200000000000004,123.936,5.0
22820,Wow.Post Malone,2,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,90.0,0.8290000000000001,0.539,11.0,-7.359,0.0,0.20800000000000002,0.136,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,4.0
