,Genre,count
973, comedy rock,12
974,jazz fusion,1
975,deep new americana,17
976, maine indie,17
977, new england americana,17
978,experimental rock,3
979,operatic pop,2
980,native american,3
981,banjo,1
982, bluegrass,3
983, progressive bluegrass,6
984,jazz saxophone,1
985,mallet,1
986,musica per bambini,1
987,rockabilly,2
988,orchestral performance,3
989,21st century classical,1
990, choral,1
991, nordic contemporary classical,1
992,hyperpop,1
993,progressive uplifting trance,1
994, classic psychedelic rock,1
995,deep funk,1
996, traditional soul,1
997,funk rock,3
998,neo-traditional bluegrass,2
999,drum and bass,4
1000, liquid funk,5
1001,milwaukee hip hop,1
1002,alabama indie,1
1003,electro house,1
1004, freak folk,12
1005, new weird america,2
1006,soda pop,3
1007,french worship,1
1008, bluegrass gospel,2
1009,kent indie,1
1010, uk pop punk,1
1011,tribal house,1
1012,hardcore hip hop,2
1013,boogaloo,5
1014,classic psychedelic rock,2
1015, jazz drums,1
1016, cuban rumba,4
1017, jazz cubano,3
1018, latin jazz,5
1019,gymcore,1
1020, hard alternative,1
1021, heavy alternative,1
1022, boogie-woogie,4
1023, soda pop,4
1024,memphis soul,9
1025,traditional funk,1
1026,modern downshift,1
1027,neo r&b,1
1028, latin rock,3
1029, mexican rock,2
1030,deep progressive trance,2
1031, deep classic garage rock,3
1032, no wave,2
1033,small room,2
1034,boogie-woogie,1
1035, trance,9
1036, san marcos tx indie,2
1037,atl trap,4
1038, dfw rap,4
1039,indie singer-songwriter,1
1040, drill,5
1041,pinoy praise,1
1042, afrobeat,2
1043, afropop,9
1044, indie jazz,6
1045, detroit trap,1
1046,funana,1
1047,idol rock,5
1048, j-poprock,5
1049,didgeridoo,1
1050, neo-traditional country,2
1051,east coast reggae,1
1052, reggae rock,1
1053, pop edm,5
1054, chicago house,2
1055, uk doom metal,2
1056,deep east coast hip hop,5
1057, chicago indie,2
1058,french hip hop,3
1059,hi-nrg,6
1060, scandinavian r&b,1
1061, swedish soul,1
1062,chicago drill,2
1063,bluegrass gospel,3
1064,french shoegaze,1
1065, neo-synthpop,4
1066,chinese indie,1
1067, mandopop,1
1068, taiwan indie,1
1069, taiwan pop,1
1070, taiwan singer-songwriter,1
1071,german pop,4
1072, melodic hardcore,3
1073, ska punk,3
1074, indie punk,7
1075, midwest emo,4
1076, small room,4
1077, uptempo hardcore,1
1078, jazz quartet,3
1079, canadian folk,11
1080, chutney,1
1081,dark trap,3
1082, stomp pop,3
1083,early us punk,3
1084, post-hardcore,2
1085,contemporary folk,2
1086,filmi,4
1087, indian folk,3
1088, modern bollywood,7
1089, sufi,3
1090,alabama rap,2
1091, ninja,2
1092,dutch pop,3
1093, dutch rock,8
1094,nyc pop,3
1095,metropopolis,2
1096, uk alternative pop,4
1097,post-grunge,1
1098,deep contemporary country,3
1099, alternative pop,1
1100, laboratorio,3
1101, sheffield indie,1
1102, progressive trance,3
1103,indie soul,1
1104, neo r&b,3
1105,new age,1
1106, country blues,1
1107, melodic thrash,1
1108,afro house,1
1109, haitian gospel,1
1110, kwaito,1
1111, kwaito house,1
1112, naija worship,1
1113, south african choral,1
1114, south african gospel,1
1115, south african pop,1
1116, kids dance party,1
1117,environmental,1
1118, sleep,1
1119,bhangra,1
1120, desi hip hop,1
1121, shimmer pop,4
1122,jazz orchestra,2
1123, post-disco soul,2
1124,southern soul blues,1
1125, slow game,2
1126,dutch rock,1
1127,classical cello,1
1128,bboy,2
1129,grupera,4
1130,belgian metal,1
1131, retro soul,1
1132,oklahoma country,8
1133,pub rock,7
1134, disney,2
1135,progressive trance,1
1136, dirty texas rap,1
1137, german pop,3
1138,texas country,6
1139,euroska,1
1140, german ska,1
1141, traditional ska,1
1142,e6fi,3
1143, twee pop,4
1144,psychedelic rock,2
1145, manchester hip hop,1
1146, uk dnb,2
1147,bmore,5
1148,rock steady,5
1149,dixieland,6
1150, virgin islands reggae,1
1151,jazz brass,1
1152,psychedelic folk rock,4
1153, romantico,2
1154,canadian singer-songwriter,6
1155,brit funk,7
1156,south african pop,2
1157, dusseldorf electronic,2
1158, krautrock,3
1159, proto-techno,4
1160, portland hip hop,1
1161,british indie rock,1
1162, leeds indie,1
1163, modern funk,8
1164,roots rock,3
1165, swedish country,1
1166,thai pop,4
1167, dutch prog,5
1168, ye ye,4
1169,asmr,4
1170,parody,3
1171,german shoegaze,1
1172, munich indie,1
1173,indie garage rock,5
1174, indie surf,1
1175,dutch indie,1
1176, old school nederhop,1
1177, modern reggae,1
1178, french rock,2
1179,progressive rock,3
1180,australian alternative rock,10
1181, kiwi rock,1
1182,no wave,1
1183, nursery,1
1184,cabaret,4
1185,grunge pop,2
1186, indy indie,2
1187,deep underground hip hop,2
1188,chinese hip hop,1
1189, chinese idol pop,1
1190, canadian pop punk,1
1191,dubstep,1
1192, zydeco,2
1193,ballroom,1
1194,british comedy,1
1195, music hall,1
1196,deep eurodance,1
1197,levenslied,1
1198, vintage dutch pop,2
1199, vintage italian soundtrack,1
1200, dreamo,2
1201, progressive post-hardcore,2
1202, praise,2
1203, detroit house,2
1204,cumbia,1
1205, experimental,6
1206,ambient folk,4
1207,canadian rock,3
1208,norteno,1
1209,bolero,2
1210, cancion melodica,1
1211, pop romantico,1
1212,nyc rap,3
1213,orchestra,2
1214,french movie tunes,3
1215, salsa international,1
1216,movie tunes,4
1217,library music,1
1218,steel guitar,1
1219,c-pop,1
1220, cantopop,1
1221,german techno,1
1222,metallic hardcore,1
1223,deep vocal house,1
1224,austropop,2
1225, neue deutsche welle,2
1226,irish singer-songwriter,2
1227,electropowerpop,2
1228,moog,1
1229,celtic,4
1230, middle earth,4
1231, christmas instrumental,1
1232, jazz trio,1
1233,bossa nova jazz,4
1234, ghanaian hip hop,1
1235, truck-driving country,5
1236,downtempo,3
1237,barbershop,1
1238,avant-garde jazz,5
1239, contemporary jazz,3
1240, free jazz,5
1241, christian punk,3
1242, unblack metal,1
1243,austindie,2
1244, lancaster pa indie,2
1245,indiecoustica,1
1246,canadian blues,2
1247, glitch,2
1248, glitch hop,2
1249, icelandic experimental,2
1250, icelandic pop,2
1251,memphis blues,1
1252,vocal trance,1
1253, classic praise,2
1254,clean comedy,3
1255, comedy,3
1256,j-ambient,1
1257,gypsy jazz,1
1258,anthem emo,2
1259, diy emo,1
1260,melodic hard rock,3
1261, neurofunk,1
1262, nz electronic,1
1263, future house,1
1264,british jazz,1
1265,theme,4
1266, athens indie,4
1267, e6fi,5
1268,swedish rockabilly,1
1269,deep punk rock,1
1270, neo-progressive,1
1271,deep melodic hard rock,2
1272, modern hard rock,3
1273,chicago hardcore,1
1274, chicago punk,1
1275, hardcore punk,1
1276,christian pop,1
1277,post-disco,4
1278, folk-pop,2
1279,oslo indie,1
1280,british country,1
1281, ranchera,4
1282,singaporean pop,1
1283,psychedelic folk,1
1284, swiss rock,2
1285,uk post-punk,1
1286,vintage italian soundtrack,1
1287, canterbury scene,2
1288,dark post-punk,1
1289, dark wave,2
1290, ebm,1
1291, ethereal wave,1
1292, neoclassical,1
1293,swedish alternative rock,1
1294,new orleans rap,1
1295,champeta,1
1296, colombian pop,1
1297, vallenato,1
1298, irish rock,1
1299,classical tenor,1
1300, opera,1
1301,lds,2
1302,buffalo ny metal,1
1303,uk pop,1
1304, highlife,1
1305,alternative americana,2
1306, jazz boom bap,2
1307,belgian experimental,1
1308, hauntology,1
1309,spacewave,1
1310, makossa,1
1311,classic belgian pop,1
